lag,R2,coef,p-value
0,0.006251756503497741,-2.509088134339247e-07,0.3906571700769197
1,0.005452960603847146,-2.353070907671251e-07,0.42879695018778763
2,0.0028059352439049334,-1.6922495617778725e-07,0.5756591412989599
3,0.0016047685975905113,-1.2932607575545133e-07,0.6763539257383453
4,0.0004435756663955237,-6.868256619930298e-08,0.8287134490613899
5,0.0005748542472570062,-7.927956054198384e-08,0.8081788782553035
6,0.0004908486561504555,-7.922316548013394e-08,0.8250729534390586
7,8.988117921160388e-06,-1.1867626005396371e-08,0.9765047964617417
8,8.231847642492518e-05,-3.903974835482141e-08,0.9300883225096316
9,0.0002185662589549997,-7.133723505600176e-08,0.888145632661452
