lag,R2,coef,p-value
0,0.14176921785580454,-2.023154911931217e-06,2.2502799230992097e-05
1,0.1125696393698874,-1.8092014042767312e-06,0.0001913920497101004
2,0.06576621994940723,-1.3898325880311148e-06,0.005060846107735948
3,0.03644479798572542,-1.0398002414978776e-06,0.03922797264359835
4,0.013834376734061515,-6.443418995993549e-07,0.20858968443290937
5,0.0021933205226456476,-2.5808647322550184e-07,0.619179690456223
6,0.0015675645054754606,2.2282271570931506e-07,0.6757736268866471
7,0.01285250457918885,6.525308854546727e-07,0.23185766546801256
8,0.02514422082045087,9.258814949136736e-07,0.09493984011901818
9,0.044103624392097696,1.2447411707572656e-06,0.026948424611621058
