Government_lag,CPI_lag,R2,Government_p,CPI_p,Sample_Size,Analysis_Type
0,0,0.29527172110411437,0.17597538558235803,0.006861371468876554,240,Overall
0,1,0.2755750126311941,0.09239429736865867,0.04376717322676904,234,Overall
0,2,0.26776124511321064,0.05227600701582502,0.1642444234853393,228,Overall
0,3,0.26304626784540275,0.036216564899826276,0.36849285760699413,222,Overall
0,4,0.2622199572574835,0.027505279413055472,0.6001846664770358,216,Overall
0,5,0.2621995872029491,0.01893309098446494,0.8963841608318281,210,Overall
0,6,0.25826089769671456,0.01646363012597285,0.9917569239774879,204,Overall
0,7,0.25269637347044804,0.021350377062493875,0.869124804678356,198,Overall
0,8,0.24381761943331337,0.0261769976288313,0.7060271022739526,192,Overall
1,0,0.2755117893126332,0.46437342362277123,0.006454260535187384,234,Overall
1,1,0.24791656846914756,0.15584716035866242,0.02258614905047729,234,Overall
1,2,0.2323226330384024,0.07493816294764533,0.09658144695519555,228,Overall
1,3,0.2233024161586038,0.045424928424163236,0.25347925389416304,222,Overall
1,4,0.22685297498296408,0.02995925805107902,0.6086041326504761,216,Overall
1,5,0.22696320463462138,0.019296375085153583,0.8881887263645225,210,Overall
1,6,0.23091206066757275,0.01470150631034528,0.9732888679529621,204,Overall
1,7,0.2258352475903539,0.020145297854236244,0.8150065409279432,198,Overall
1,8,0.22388886005556663,0.023856145551843566,0.5958489387265069,192,Overall
2,0,0.28326198069647146,1.684194132822725e-06,0.0005815511502853532,228,Overall
2,1,0.22588389236601836,0.1252047113593635,0.0007466081602285346,228,Overall
2,2,0.19346727209831205,0.5609299367294125,0.0017202127800650668,228,Overall
2,3,0.16627856537854124,0.22538871079608058,0.008469632527530635,222,Overall
2,4,0.1556485447789956,0.11826788289629642,0.08614481854033396,216,Overall
2,5,0.1533829723422766,0.06271417171951588,0.36812897442111625,210,Overall
2,6,0.154494060705052,0.0496205074448981,0.487027092741235,204,Overall
2,7,0.15814034010463862,0.06075384062068245,0.30248854341115683,198,Overall
