lag,R2,coef,p-value
0,0.00986388751227496,-20.656463324877194,0.2804773517656194
1,0.007262128099389309,-18.008840769057485,0.36095789176858806
2,0.008765487471177225,-20.01387465548592,0.3217859624255939
3,0.010666491295091785,-22.388674689917167,0.2807309429116891
4,0.013802465447870227,-25.793858485665517,0.22592604906712155
5,0.012915867130202985,-25.31259978257191,0.24835684816134462
6,0.013682423330372062,-26.525094505357373,0.2416700494672963
7,0.014571652379088196,-27.832503171994404,0.2339740496493405
8,0.015001568755583672,-28.482665391240644,0.2345087215010436
9,0.011121657414674857,-24.612196509655814,0.31438364685834286
