Variable,VIF
AR_spline1,0.0
AR_spline2,2.4162902678989653
AR_spline3,1.9725562188755175
AR_spline4,4.323183118178693
GovPrice_centered,4.557941135349346
Interaction_GovPrice,2.2236170512611686
CPI_lag0,3.3056599767786383
