Government_lag,CPI_lag,R2,Government_p,CPI_p,Sample_Size,Analysis_Type,Industry
0,0,0.4571724993274865,0.003926818614674588,0.10087383218547297,120,By_Industry,Wheat Processing
0,0,0.07485777627911738,0.6976569846180936,0.5178881892841198,120,By_Industry,Food Service
0,1,0.452294925096015,0.0007819083231459523,0.39090280904801666,117,By_Industry,Wheat Processing
0,1,0.06859673899104879,0.45537893281088726,0.5761487682593716,117,By_Industry,Food Service
0,2,0.4589982252991289,0.00037408286054851914,0.7706304128496408,114,By_Industry,Wheat Processing
0,2,0.061797584452144005,0.13042888241393014,0.6959400671626188,114,By_Industry,Food Service
0,3,0.4645458033841239,0.0006295169749999108,0.9138166674919459,111,By_Industry,Wheat Processing
0,3,0.05619392205211127,0.0384693585121314,0.8108432543029933,111,By_Industry,Food Service
0,4,0.4703967734357757,0.0006579726842250722,0.8512246024640282,108,By_Industry,Wheat Processing
0,4,0.05461967120006139,0.04203691387280273,0.8387252075075813,108,By_Industry,Food Service
0,5,0.47464964825895883,0.000469302411054473,0.8233315513976849,105,By_Industry,Wheat Processing
0,5,0.05254607997669647,0.029352438041959195,0.8798097786241492,105,By_Industry,Food Service
0,6,0.46864136746750495,0.0006199744166235366,0.9635409782065434,102,By_Industry,Wheat Processing
0,6,0.052429042886583455,0.03335033243011476,0.8296325631961636,102,By_Industry,Food Service
0,7,0.4648236708560568,0.0019142778960441476,0.5587131382988915,99,By_Industry,Wheat Processing
0,7,0.04795945684139058,0.018595832875893725,0.8088920694959096,99,By_Industry,Food Service
0,8,0.453249689437608,0.003796667723475533,0.16333473554933753,96,By_Industry,Wheat Processing
0,8,0.050329803129712136,0.08875594255085306,0.7280532673447007,96,By_Industry,Food Service
1,0,0.39511655622456565,0.00015745547099510482,0.044293202386431085,117,By_Industry,Wheat Processing
1,0,0.06922133911083872,0.8515043693576385,0.5127278711281442,117,By_Industry,Food Service
1,1,0.38338658186495733,8.707722877598911e-05,0.21320526693054065,117,By_Industry,Wheat Processing
1,1,0.06696834462896106,0.7258334635021799,0.5303677104419697,117,By_Industry,Food Service
1,2,0.3831800077109989,5.431565584013143e-05,0.5757061308293747,114,By_Industry,Wheat Processing
1,2,0.05775478685114155,0.11402348990072753,0.6434351365342832,114,By_Industry,Food Service
1,3,0.3874597160263977,0.00021441888799289543,0.9704454238562297,111,By_Industry,Wheat Processing
1,3,0.049938049128665285,0.022566894828228712,0.7595244192915191,111,By_Industry,Food Service
1,4,0.4068832955999804,0.00019556401328957307,0.5441546225434508,108,By_Industry,Wheat Processing
1,4,0.04961707560613793,0.01653648690484988,0.812790322967456,108,By_Industry,Food Service
1,5,0.41097807626403715,0.00012079696245304028,0.5616501164212528,105,By_Industry,Wheat Processing
1,5,0.04779430958409958,0.025163544827536466,0.8461782602582657,105,By_Industry,Food Service
1,6,0.4182837228527375,0.00013187310859863466,0.7255208283188499,102,By_Industry,Wheat Processing
1,6,0.04939619996608946,0.040989325413129274,0.8031761757285909,102,By_Industry,Food Service
1,7,0.4126580357529984,0.0008478884753793103,0.7406937826376603,99,By_Industry,Wheat Processing
1,7,0.04601544257797674,0.04635023174673103,0.7726901858713988,99,By_Industry,Food Service
1,8,0.4139336940462093,0.00200138574701314,0.1923584089693886,96,By_Industry,Wheat Processing
1,8,0.04950140460676333,8.265166920207179e-06,0.6942209134471673,96,By_Industry,Food Service
2,0,0.36794889095767735,0.010430878378104413,2.396331038045929e-07,114,By_Industry,Wheat Processing
2,0,0.06902947949844174,0.004211206247716204,0.41900649952615554,114,By_Industry,Food Service
2,1,0.29693667988010763,0.5293365268702179,2.5502699398938233e-06,114,By_Industry,Wheat Processing
2,1,0.06334596476446064,3.944192114158085e-05,0.4469045194522008,114,By_Industry,Food Service
2,2,0.27282056657339593,0.06408289573638215,0.00035737775747368694,114,By_Industry,Wheat Processing
2,2,0.058338572156992674,2.220446049250313e-16,0.4726509585344687,114,By_Industry,Food Service
2,3,0.2591970775003073,0.027786734695584014,0.024167529709134827,111,By_Industry,Wheat Processing
2,3,0.04237683989912322,0.7940761815643973,0.5695087115692292,111,By_Industry,Food Service
2,4,0.2647823078453827,0.010815943951845597,0.42909025901249676,108,By_Industry,Wheat Processing
2,4,0.03868654432076768,0.6983874806876815,0.6291570365194905,108,By_Industry,Food Service
2,5,0.27564230779653376,0.0029062401025308215,0.9639435385473178,105,By_Industry,Wheat Processing
2,5,0.035425702447191454,0.434256190881269,0.684239933390538,105,By_Industry,Food Service
2,6,0.2812049822920334,0.00246022141769231,0.9175461654633568,102,By_Industry,Wheat Processing
2,6,0.03889349135536424,0.6428602897412463,0.6374809882455419,102,By_Industry,Food Service
2,7,0.28868557001565665,0.008440761573079714,0.3176405052642419,99,By_Industry,Wheat Processing
2,7,0.03910454786006212,0.7278653626824099,0.6269254117194774,99,By_Industry,Food Service
2,8,0.2906518632074939,0.016161323653320236,0.022411505312020852,96,By_Industry,Wheat Processing
2,8,0.04743813613061909,0.7053356107101401,0.5402584275377684,96,By_Industry,Food Service
3,0,0.4337462769214855,1.598343679631853e-11,3.439698526008783e-09,111,By_Industry,Wheat Processing
3,0,0.07711674287115655,7.847056338050606e-13,0.2985064484748192,111,By_Industry,Food Service
3,1,0.32627910430254414,3.911274460466352e-05,2.096292028852531e-10,111,By_Industry,Wheat Processing
3,1,0.07161685565063436,0.0,0.3207455384566904,111,By_Industry,Food Service
3,2,0.2541530487216216,0.14087244435184765,1.2723155862204294e-13,111,By_Industry,Wheat Processing
3,2,0.06372365774094002,9.595303407383682e-07,0.35433396472843226,111,By_Industry,Food Service
3,3,0.20353987641629456,0.5647986524268855,1.2434497875801753e-13,111,By_Industry,Wheat Processing
3,3,0.04699598957946749,0.17194024516906947,0.4277423881851461,111,By_Industry,Food Service
3,4,0.18306311512706697,0.15797933967935096,8.561012820229585e-05,108,By_Industry,Wheat Processing
3,4,0.04091697373223713,0.3549047996739634,0.4883108811471706,108,By_Industry,Food Service
3,5,0.1809795959169831,0.038548006500616516,0.09171407215798744,105,By_Industry,Wheat Processing
3,5,0.034913110989323926,0.6917114749186801,0.5442797631497038,105,By_Industry,Food Service
3,6,0.19273300758020484,0.016557343304217875,0.4151386952054783,102,By_Industry,Wheat Processing
3,6,0.038929413529292134,0.7484161649386292,0.5064004689641171,102,By_Industry,Food Service
3,7,0.200649600911193,0.041637863471742476,0.023240200119792886,99,By_Industry,Wheat Processing
3,7,0.03945800465040061,0.774974512122566,0.4987456900814209,99,By_Industry,Food Service
3,8,0.21592939731873328,0.05614311696060503,0.00018451258297447204,96,By_Industry,Wheat Processing
3,8,0.05045545208881386,0.5052034563283414,0.4159389969642575,96,By_Industry,Food Service
4,0,0.49518814246031206,3.968695565514935e-07,4.741919034545461e-06,108,By_Industry,Wheat Processing
4,0,0.09505515049452662,0.0,0.24420742151986685,108,By_Industry,Food Service
4,1,0.4090310451757695,1.3462415262566196e-06,3.79264504646315e-06,108,By_Industry,Wheat Processing
4,1,0.09150364387625587,0.0,0.2555700893741706,108,By_Industry,Food Service
4,2,0.32114667604789593,1.2641980094096894e-05,1.745035993261368e-06,108,By_Industry,Wheat Processing
4,2,0.08428704562496203,0.0,0.2742794640196107,108,By_Industry,Food Service
4,3,0.22626378401918523,0.0016846250684436903,1.695799056733449e-11,108,By_Industry,Wheat Processing
4,3,0.05935287967891989,2.3314683517128287e-13,0.3390796552045843,108,By_Industry,Food Service
4,4,0.16085170268930182,0.48584481748140873,7.0956573949843005e-12,108,By_Industry,Wheat Processing
4,4,0.0565612963086094,0.00045026583370977313,0.3521994705810836,108,By_Industry,Food Service
4,5,0.12811125051366024,0.5905538005875695,0.00012201494387586997,105,By_Industry,Wheat Processing
4,5,0.04666846536962643,0.02866206260525561,0.3994121940111428,105,By_Industry,Food Service
4,6,0.12341241205380793,0.2162940813148071,0.011174051040732769,102,By_Industry,Wheat Processing
4,6,0.05083811132606442,0.11930529939751389,0.36559637078098106,102,By_Industry,Food Service
4,7,0.13257710953683366,0.20769292954463103,5.600890872425879e-06,99,By_Industry,Wheat Processing
4,7,0.048543740120373324,0.26839335264246955,0.37290503152734145,99,By_Industry,Food Service
4,8,0.14602211645817886,0.2128612369769427,9.240572125257529e-07,96,By_Industry,Wheat Processing
4,8,0.06126800329062554,0.17953557146191312,0.31760028878479796,96,By_Industry,Food Service
5,0,0.5468274316903152,2.0039086955581098e-05,0.00010752214646880809,105,By_Industry,Wheat Processing
5,0,0.0705392676506933,7.13897629900373e-09,0.33664444603463517,105,By_Industry,Food Service
5,1,0.4768619942639155,3.9753258144425985e-05,0.00012988646132683357,105,By_Industry,Wheat Processing
5,1,0.07094248614244392,8.872456103148352e-10,0.3366561544566722,105,By_Industry,Food Service
5,2,0.4352716773783585,6.303145412900335e-05,0.00012629856883128454,105,By_Industry,Wheat Processing
5,2,0.06741464124414753,7.543058311298978e-08,0.34922385128178246,105,By_Industry,Food Service
5,3,0.3434987290288277,1.204677637511864e-05,1.4683435449747151e-05,105,By_Industry,Wheat Processing
5,3,0.048754195828607516,0.0002776020278136837,0.4105863654259929,105,By_Industry,Food Service
5,4,0.26888864746096564,3.0397331489684376e-05,3.7703682722600718e-06,105,By_Industry,Wheat Processing
5,4,0.047126494564554755,0.001591125081477296,0.4181634381766477,105,By_Industry,Food Service
5,5,0.1680661330582135,0.004972452377947745,4.79596296478757e-05,105,By_Industry,Wheat Processing
5,5,0.04575190384332106,0.04366831033634799,0.4198917163238707,105,By_Industry,Food Service
5,6,0.12924496075544856,0.08243325875318375,0.0011180129505354852,102,By_Industry,Wheat Processing
5,6,0.049943367663886296,0.1519990799078239,0.392097036747483,102,By_Industry,Food Service
5,7,0.1126485827896554,0.5913548694933002,7.949985852961916e-06,99,By_Industry,Wheat Processing
5,7,0.047406759468033965,0.3245951146012387,0.4044622740571029,99,By_Industry,Food Service
5,8,0.11464753230278024,0.9618796595485981,3.4407578592965393e-06,96,By_Industry,Wheat Processing
5,8,0.05905693160091574,0.25362457653897463,0.344026365715961,96,By_Industry,Food Service
6,0,0.5327089404362033,1.3082464349389866e-05,0.0003483844926372992,102,By_Industry,Wheat Processing
6,0,0.057732822840579345,0.006840870227664997,0.4326514469819531,102,By_Industry,Food Service
6,1,0.5038072181951904,1.8826156902296276e-05,0.00033166086678271256,102,By_Industry,Wheat Processing
6,1,0.0573522982234298,0.002345408045783426,0.43493904405390715,102,By_Industry,Food Service
6,2,0.4648865212623755,2.5872981470165257e-05,0.0003086197236004118,102,By_Industry,Wheat Processing
6,2,0.05683123362204223,0.007579442068909703,0.4383529892237963,102,By_Industry,Food Service
6,3,0.41429739214188566,3.9846889703376576e-06,8.077723886290578e-05,102,By_Industry,Wheat Processing
6,3,0.04191884038969018,0.06025193743203361,0.49643228401204675,102,By_Industry,Food Service
6,4,0.3523846140930358,3.00730164970453e-06,4.715460505755331e-05,102,By_Industry,Wheat Processing
6,4,0.042611566698165015,0.05950606611783127,0.49135289102029134,102,By_Industry,Food Service
6,5,0.30742782241619937,1.880683604227329e-05,0.00011481705503602058,102,By_Industry,Wheat Processing
6,5,0.04150706511814206,0.09467406118557053,0.4905289018637615,102,By_Industry,Food Service
6,6,0.2269766804508755,0.00016162272573705394,0.0003178939221644139,102,By_Industry,Wheat Processing
6,6,0.04852044857398341,0.13859201148876776,0.4504820704600436,102,By_Industry,Food Service
6,7,0.18149609460491667,0.0021847974065747344,4.336213391464838e-06,99,By_Industry,Wheat Processing
6,7,0.045900680566816954,0.3285237241062826,0.4659422439915897,99,By_Industry,Food Service
6,8,0.1440667559310156,0.09987283720258411,1.5369544932308798e-06,96,By_Industry,Wheat Processing
6,8,0.05625217637950386,0.28483729560669047,0.41479167660431515,96,By_Industry,Food Service
7,0,0.49594812742986183,1.5116486189459266e-06,0.0006253116670176251,99,By_Industry,Wheat Processing
7,0,0.052559466093788254,8.682718917474297e-05,0.4911130813103042,99,By_Industry,Food Service
7,1,0.45802433344763194,1.4690543979067883e-06,0.0005567062770963638,99,By_Industry,Wheat Processing
7,1,0.053354534723878966,9.495777755219592e-07,0.4879649783606208,99,By_Industry,Food Service
7,2,0.4534424018174854,1.6743595432355818e-06,0.0003763526515503379,99,By_Industry,Wheat Processing
7,2,0.05342868239020637,0.0001956467942287876,0.488672062017359,99,By_Industry,Food Service
7,3,0.3990880296336248,1.3507142049284937e-07,0.0001227448686642596,99,By_Industry,Wheat Processing
7,3,0.04221623744893244,0.01279292417657496,0.5281695702076741,99,By_Industry,Food Service
7,4,0.36947983015351415,6.428500265442949e-08,6.045032183199517e-05,99,By_Industry,Wheat Processing
7,4,0.0440085440401794,0.015392913942601005,0.5195768316223544,99,By_Industry,Food Service
7,5,0.3244693657169202,3.844475859882124e-07,0.00012618573884548567,99,By_Industry,Wheat Processing
7,5,0.04383218623174712,0.01168229028870682,0.5141407071200028,99,By_Industry,Food Service
7,6,0.3652166621035644,2.1210397922466484e-06,0.00011465312662473082,99,By_Industry,Wheat Processing
7,6,0.048836010328093815,0.004693884806291182,0.48625213806468537,99,By_Industry,Food Service
7,7,0.28143321847348535,2.5702620967127388e-06,1.1587229775678054e-06,99,By_Industry,Wheat Processing
7,7,0.05771302656379418,0.012319303517309699,0.44281446608191066,99,By_Industry,Food Service
7,8,0.2282027418014979,0.0005839025176161972,2.2511897013188786e-07,96,By_Industry,Wheat Processing
7,8,0.06611353833844635,0.032206565480900284,0.41445474563550566,96,By_Industry,Food Service
8,0,0.40626515953403386,0.00020811119454799965,0.006245217975170414,96,By_Industry,Wheat Processing
8,0,0.03883597996906207,1.9468870959826745e-12,0.5949984521328058,96,By_Industry,Food Service
8,1,0.3639803524795492,0.0003550962204201813,0.007806057394794452,96,By_Industry,Wheat Processing
8,1,0.037717103226078574,4.440892098500626e-16,0.600569766029011,96,By_Industry,Food Service
8,2,0.3386765883591172,0.0006068914410886084,0.008806372359158043,96,By_Industry,Wheat Processing
8,2,0.036768413198315475,0.006598026236236176,0.6060937909852431,96,By_Industry,Food Service
8,3,0.31121368297152563,0.000506854239042065,0.007609255704518869,96,By_Industry,Wheat Processing
8,3,0.02741265325323139,0.10104453388713797,0.6503394227454191,96,By_Industry,Food Service
8,4,0.27418463076821975,0.000714201315816565,0.008969137413074035,96,By_Industry,Wheat Processing
8,4,0.03004831337367675,0.18175817041730058,0.6374251123033332,96,By_Industry,Food Service
8,5,0.25157535839960066,0.002265779821900349,0.014788072807361274,96,By_Industry,Wheat Processing
8,5,0.031233922192313135,0.16237531156227192,0.6269747349601484,96,By_Industry,Food Service
8,6,0.2671249340953007,0.003693565205766358,0.015873736298223085,96,By_Industry,Wheat Processing
8,6,0.0382255924874183,0.06640907003737961,0.5859562197257349,96,By_Industry,Food Service
8,7,0.32899450138352293,0.00023718296107055892,0.0014726491013026255,96,By_Industry,Wheat Processing
8,7,0.04765024908342763,2.8785914332640772e-05,0.5337921841145605,96,By_Industry,Food Service
8,8,0.276812749228619,8.658556521901062e-05,0.00035132705796314667,96,By_Industry,Wheat Processing
8,8,0.056820232792399894,3.683942129928397e-05,0.4987174148741904,96,By_Industry,Food Service
